('17.06', 9.87841012e+18)
('17.07', 2.45268175362857e+21)
('17.08', 2.984374287e+19)
('17.09', 1.815640348962187e+20)
('17.10', 1.8390126786632517e+21)
('17.11', 2.2864587814574449e+18)
('17.12', 2.6928221538918744e+19)
('18.01', 7.98624673920442e+20)
('18.02', 4.4859008037747674e+20)
('18.03', 2.304933294570242e+21)
('18.04', 2.2220564933734734e+21)
('18.05', 1.925000136571285e+21)
('18.06', 2.0925498076429345e+21)
('18.07', 1.6873018330666065e+21)
('18.08', 7.453531929881492e+20)
('18.09', 1.7772073563251777e+22)
('18.10', 1.5929993552984607e+21)
('18.11', 1.976377133559714e+20)
('18.12', 4.178915303792513e+20)
('19.01', 1.317302403642405e+20)
('19.02', 7.861774751138023e+19)
('19.03', 1.426210204673218e+21)
('19.04', 2.1410033326650445e+20)
('19.05', 2.7511634841644043e+20)
('19.06', 1.8040965816029594e+20)
